kind,duty_deg_per_s,J,label,params
search,3.2565,-36.14,random r=0.0777 qt=6.47,"{""horizon"": 30, ""r"": 0.0777, ""qt"": 6.47, ""wc_v"": 0.113, ""tau_adapt"": 1.08, ""adapt"": ""offset""}"
search,3.1315,-20.761,random r=0.194 qt=12.3,"{""horizon"": 30, ""r"": 0.194, ""qt"": 12.3, ""wc_v"": 0.46, ""tau_adapt"": 1.52, ""adapt"": ""rls""}"
search,0.9827,-46.447,random r=0.747 qt=14.6,"{""horizon"": 30, ""r"": 0.747, ""qt"": 14.6, ""wc_v"": 0.199, ""tau_adapt"": 10.7, ""adapt"": ""offset""}"
search,1.178,-46.959,random r=0.901 qt=2.47,"{""horizon"": 30, ""r"": 0.901, ""qt"": 2.47, ""wc_v"": 1.49, ""tau_adapt"": 3.18, ""adapt"": ""rls""}"
search,4.2517,-36.901,random r=0.0414 qt=16.1,"{""horizon"": 30, ""r"": 0.0414, ""qt"": 16.1, ""wc_v"": 0.101, ""tau_adapt"": 3.69, ""adapt"": ""rls""}"
search,4.7948,-67.821,random r=0.0405 qt=0.11,"{""horizon"": 20, ""r"": 0.0405, ""qt"": 0.11, ""wc_v"": 0.749, ""tau_adapt"": 1.23, ""adapt"": ""offset""}"
search,0.7019,-12.13,random r=0.347 qt=0.408,"{""horizon"": 15, ""r"": 0.347, ""qt"": 0.408, ""wc_v"": 0.1, ""tau_adapt"": 13.9, ""adapt"": ""offset""}"
search,3.007,-52.487,random r=0.106 qt=0.113,"{""horizon"": 15, ""r"": 0.106, ""qt"": 0.113, ""wc_v"": 0.207, ""tau_adapt"": 2.06, ""adapt"": ""rls""}"
search,0.2699,-20.481,random r=1.8 qt=7.45,"{""horizon"": 20, ""r"": 1.8, ""qt"": 7.45, ""wc_v"": 0.419, ""tau_adapt"": 4.28, ""adapt"": ""rls""}"
search,1.3494,-37.833,random r=0.474 qt=1.51,"{""horizon"": 30, ""r"": 0.474, ""qt"": 1.51, ""wc_v"": 0.782, ""tau_adapt"": 2.42, ""adapt"": ""offset""}"
search,0.8831,3.559,random r=0.522 qt=0.671,"{""horizon"": 20, ""r"": 0.522, ""qt"": 0.671, ""wc_v"": 0.279, ""tau_adapt"": 29.6, ""adapt"": ""rls""}"
